Title,Description,Category,Benefits,Eligibility,Procedure,Documents,Link
NSAP - Indira Gandhi National Old Age Pension Scheme,"The scheme ""Indira Gandhi National Old Age Pension Scheme (IGNOAPS)"" is one of the five sub-schemes of the National Social Assistance Programme (NSAP). Under IGNOAPS, citizens living Below Poverty Line and 60 years or above in age are eligible to apply. A monthly pension of ₹ 200 up to 79 years and ₹ 500 thereafter.The Government of India, on 15th August 1995, introduced the National Social Assistance Programme (NSAP) as a fully funded Centrally Sponsored Scheme targeting the destitute, defined as any person who has little or no regular means of subsistence from his / her own source of income or through financial support from family members or other sources, to be identified by the States and UTs, with the objective of providing a basic level of financial aid. NSAP is being administered by the Ministry of Rural Development. This program is being implemented in rural areas as well as urban areas. NSAP represents a significant step towards the fulfillment of the Directive Principles of State Policy enshrined in the Constitution of India which enjoin upon the State to undertake within its means a number of welfare measures. These are intended to secure for the citizen's adequate means of livelihood, raise the standard of living, improve public health, provide free and compulsory education for children, etc. The NSAP at present includes five sub-schemes as its components - a) Indira Gandhi National Old Age Pension Scheme (IGNOAPS)b) Indira Gandhi National Widow Pension Scheme (IGNWPS)c) Indira Gandhi National Disability Pension Scheme (IGNDPS)d) National Family Benefit Scheme (NFBS)e) Annapurna SchemeObjectives of NSAP - 1.  Provides social assistance benefits to poor households in the case of death, maternity, or old age of the breadwinner.2.  Ensure minimum national standards, in addition to the benefits, the States are currently providing or might provide in the future.3.  Ensure uniform social protection to the beneficiaries across the country without interruption.Expansion to cover all eligible BPL persons - In 2007, the scheme was expanded to cover all eligible persons Below Poverty Line (BPL).",,,,,,https://www.myscheme.gov.in/schemes/nsap-ignoaps
AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma),"Saksham is a Scholarship Scheme by the Ministry of Education, implemented by AICTE, aimed at providing encouragement and support to specially-abled children to pursue technical education. This is an attempt to give every young student, who is otherwise specially abled, the opportunity to study further and prepare for a successful future through technical education/ knowledge. ₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. The candidate should be admitted to the First year of the Diploma level course OR the Second year of the Diploma level course through lateral entry in any of the AICTE-approved institutions of the respective year. Family income from all sources should not be more than Rs. 8 lakh per annum during the current financial year.",,,,,,https://www.myscheme.gov.in/schemes/sak-dip
Industry Linked Biotechnology Research Scheme,"The Scheme “Industry Linked Biotechnology Research Scheme (IBRS)” facilitates Academia-Industry interaction by undertaking projects in collaboration with an industrial partner which should result in commercializing the product or process or service. Kerala Biotechnology Commission (KBC) under the Kerala State Council for Science, Technology and Environment (KSCSTE) provides project mode support to facilitate Academia-Industry interaction. The project proposals should be result-oriented with an eye on commercializing the product or process or service that would result from it.     The scheme is to provide financial assistance in the form of grants to Scientists and Technologists of R&D Centers/academic Institutions/Organizations actively involved in biotechnological research with emphasis on areas relating to marine, agriculture, health, and environment. The proposals need to be submitted with active collaboration with an industry in which the industrial partner is willing to share 25% of the KBC allocated funds additionally. ",,,,,,https://www.myscheme.gov.in/schemes/ibrs
MeitY - Digital India Internship Scheme,"An Internship Scheme by the Ministry of Electronics and Information Technology, Govt. of India, for engagement of Interns for a limited period. An internship is an opportunity for a student to secure first-hand and practical work experience under the guidance of a qualified and experienced Supervisor/Mentor. It also aims at active participation in the learning process through experimentation and putting into practice the knowledge acquired in the classrooms. The scheme is open to Indian students from recognized universities in India who have secured at least 60% marks in the last held degree or certificate examination and pursuing: a B.E/B.Tech/M.E/M.Tech (Computer Science & Engineering (CSE)/Computer Science (CS)/ IT/ Electronics & Communications (EC)/ Electronics/ Electrical); M.Sc.(CS/IT/ Electronics/ Electrical); MCA/DOEACC ‘B’ level; BA (Economics (H)); B.Com (H)/ M.Com.; MBA (Finance/International Business); LL.B#. Interested and eligible students need to apply online ONLY on the Web Portal of the Ministry for the Internship Scheme for the year 2022.",,,,,,https://www.myscheme.gov.in/schemes/mdiis
Shram Kalyan Shaikshanik Chatravriti Yojana,"The main objective of the Madhya Pradesh Shram Kalyan Academic Scholarship Scheme is to provide scholarships to the children of labourers to get an education. Through this scheme, scholarships will be provided from the 5th class to a higher level of education. Now the students of the state will not have to face a financial crunch for getting an education. Because the education expenses of the students of the state will be borne by the Madhya Pradesh government. This scheme will also prove effective in reducing the unemployment rate of the state. Apart from this, through this scheme, help will also be received in reaching the basic right of education for all children. Now the students of the state will not need to depend on anyone for the expenses of their education because the Madhya Pradesh government will provide scholarships to them through the Madhya Pradesh Shram Kalyan Academic Scholarship Scheme.",,,,,,https://www.myscheme.gov.in/schemes/skscy
Jai Johar (Old Age Pension) Scheme,"Launched on 1st April 2020, “Jai Johar (Old Age Pension)” is a Social Security Scheme by the Tribal Development Department, Government of West Bengal. The scheme is aimed at the Scheduled Tribe (ST) residents of West Bengal of the age of 60 years and above who do not receive any other pension from any other authority. Over 3,00,000 beneficiaries have been brought under the fold of the scheme. The amount of monthly pension of ₹ 1,000/- is transferred directly to the individual bank account of the beneficiary.",,,,,,https://www.myscheme.gov.in/schemes/jjoaps
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Faculty Fellowship,"The ""INSPIRE FACULTY FELLOWSHIP"" component provides opportunities to 100 persons every year with Ph.D. qualifications in the age group of 27-32 years for 5 years to carry out research in both basic and applied science areas including engineering, medicine, agriculture, and veterinary sciences for establishing themselves as independent researchers. It grants an attractive fellowship for a duration of 5 years. The objective of the scheme is to encourage young researchers to continue research in areas of S&T, Medicine, Agriculture, Pharmacy, and Veterinary Sciences.﻿Purpose1. To provide attractive opportunities for young achievers for developing independent scientific profiles and launch them toward fulfilling long-term careers.2. To augment high-quality scientific manpower in scientific and educational institutions, especially the Central and State universities.3. While vertical migration from the other INSPIRE components would be encouraged, the faculty fellowship component also provides the opportunity to meritorious candidates for lateral entry into INSPIRE scheme.4. INSPIRE Faculty Fellowship provides an opportunity to post-doctoral fellows for carrying out independent research however does not guarantee a regular position after 5 years.",,,,,,https://www.myscheme.gov.in/schemes/inspire-ff
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,"The Government of Tamil Nadu introduced ""Assistance for Delivery/ Miscarriage of Pregnancy/ Termination of Pregnancy to Female Differently Abled Person with a sum of Rs.6,000/- @ Rs.1,000/- per month for delivery and Rs.3,000 for miscarriage/termination of pregnancy is given to female differently abled person. ",,,,,,https://www.myscheme.gov.in/schemes/admptpfdap
"""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""","The scheme ""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" is a Sub-Component under the Umbrella Scheme ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" by the Department of Fisheries and Fishermen Welfare, Government of Puducherry. The scheme is introduced with the objective of increasing marine fish production by extending subsidies to the fishermen for the procurement of fiber-reinforced plastic vallam with nets.",,,,,,https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf
Sudama Chhatravrtti Yojana,"Madhya Pradesh State Government Started Pre-Matric Scholarships for state students. Under this scheme, financial assistance is provided to 300 boys students and 400 girls students of Madhya Pradesh State. ",,,,,,https://www.myscheme.gov.in/schemes/scymp
